# Classifier readings of a label that are a cursive form of the label itself, not another character.
# A Quick review suspect mark whose label and reading make one of these pairs is not made (quiz_suspects).
# Decided by mkpoli on 2026-09-26 from eight sample crops per pair (the glyph ids below), among the 201
# (label, reading) pairs the corpus marks repeated at least 40 times. A pair is listed only when all eight
# samples were the label; 45 further pairs were answered "can't tell" and are not listed, so they stay marked.
# marks: how many corpus marks the pair held when it was decided.
label	label_code_point	reads_as	reads_as_code_point	marks	samples	decided
へ	U+3078	く	U+304F	56	hl:B5A8C444BAB2DC7076365A8660F458F0_14_086:be9c7f9d3d4d:6 hi:34261349 hi:34186850 hi:34178513 hi:34170981 hk:9987c791c64b854f7fadde0412de937a:25:L4:7a0d3267f64e:22 codh:hnsd00000:hnsd011_037:B0001:C0038 hi:34168114	2026-09-26
不	U+4E0D	石	U+77F3	56	hi:34235107 hi:34116859 hi:34154890 hi:34216174 hi:34056801 hi:34218721 hi:34220785 hi:34190640	2026-09-26
候	U+5019	い	U+3044	56	hl:68C7BEFABCCE5DD6A2327799118C7CD1_57_010:be9c7f9d3d4d:19 hi:34393224 hi:34278227 hi:34081836 hi:34289970 hi:34417470 hi:34031387 codh:200021802:200021802_00038_2:B0001:C0140	2026-09-26
且	U+4E14	旦	U+65E6	55	hi:34029263 hi:34292158 hi:34082304 hi:34257795 hng:nkk:0296 hi:34204388 hi:34308378 hi:34028169	2026-09-26
同	U+540C	日	U+65E5	55	hi:34079526 hi:34048856 hi:34151362 hi:34172339 hi:34201226 hi:34133749 hi:34159831 hi:34146616	2026-09-26
を	U+3092	と	U+3068	54	hi:34058813 hi:34062091 hi:34314951 hi:34057448 hi:34229079 hi:34243355 hl:68eb3417ed31bd40b47322289459eeec_24_100:be9c7f9d3d4d:1 hi:34288151	2026-09-26
存	U+5B58	な	U+306A	54	hi:34244022 hi:34322929 hi:34368248 hi:34364972 hi:34270488 hi:34085935 hi:34256072 hi:34253135	2026-09-26
是	U+662F	そ	U+305D	54	hi:34154657 hi:34047977 hi:34252067 hi:34371592 hi:34357203 hi:34177654 hi:34082050 hi:34491664	2026-09-26
か	U+304B	う	U+3046	52	hk:9987c791c64b854f7fadde0412de937a:36:L8:7a0d3267f64e:16 codh:hnsd00000:hnsd007_019:B0001:C0053 codh:200021802:200021802_00035_2:B0001:C0086 codh:200010454:200010454_00018_1:B0001:C0031 hi:34037018 codh:100249476:100249476_00008_1:B0001:C0067 hl:833C8DC397DF4B02D31160EA54FD271E_8_059:be9c7f9d3d4d:6 codh:200021712:200021712_00063_2:B0001:C0155	2026-09-26
月	U+6708	日	U+65E5	52	hl:68C7BEFABCCE5DD6A2327799118C7CD1_51_009:be9c7f9d3d4d:3 hi:34250044 hi:34056590 hi:34120475 hi:34249990 hi:34118413 hi:34200330 hi:34510215	2026-09-26
被	U+88AB	取	U+53D6	51	hi:34074302 hi:34105177 hi:34038361 hi:34100009 hi:34036607 hi:34304810 hl:db756a349241476df2db53a0cfcd6cd6_55_011:be9c7f9d3d4d:10 hi:34142991	2026-09-26
仰	U+4EF0	御	U+5FA1	50	hi:34191220 hi:34418350 hi:34204074 hi:34196605 hi:34203548 hi:34211032 hi:34203660 hi:34458116	2026-09-26
召	U+53EC	ら	U+3089	50	hi:34161568 hi:34162031 hi:34221376 hi:34191423 hi:34136639 hi:34211438 hi:34163204 hi:34158012	2026-09-26
向	U+5411	白	U+767D	50	hi:34025662 hi:34161376 hi:34254793 hi:34302569 hi:34180618 hi:34165689 hi:34161901 hi:34187796	2026-09-26
守	U+5B88	る	U+308B	50	hi:34064476 hi:34047228 hi:34026528 hi:34047050 hi:34168543 hi:34344388 hi:34212371 hi:34241853	2026-09-26
申	U+7533	よ	U+3088	50	hi:34244111 hi:34477901 hi:34262735 hi:34342110 hi:34304525 hi:34277627 hi:34424984 hi:34173209	2026-09-26
か	U+304B	の	U+306E	49	hi:34138155 codh:200019865:200019865_00128_2:B0001:C0048 codh:200003076:200003076_00065_2:B0001:C0156 codh:200019865:200019865_00106_1:B0001:C0182 hl:9d4189b32a46c402aab4a99774c2e3bb_15_001:be9c7f9d3d4d:11 codh:brsk00000:brsk001_028:B0001:C0258 codh:200003076:200003076_00131_1:B0001:C0033 codh:200003076:200003076_00087_2:B0001:C0113	2026-09-26
し	U+3057	レ	U+30EC	49	hl:68eb3417ed31bd40b47322289459eeec_19_048:be9c7f9d3d4d:2 hl:68eb3417ed31bd40b47322289459eeec_17_003:be9c7f9d3d4d:21 hl:68eb3417ed31bd40b47322289459eeec_11_028:be9c7f9d3d4d:6 hl:68eb3417ed31bd40b47322289459eeec_29_023:be9c7f9d3d4d:27 hl:68eb3417ed31bd40b47322289459eeec_22_055:be9c7f9d3d4d:2 hl:68eb3417ed31bd40b47322289459eeec_23_036:be9c7f9d3d4d:27 hl:68eb3417ed31bd40b47322289459eeec_19_066:be9c7f9d3d4d:1 hl:68eb3417ed31bd40b47322289459eeec_3_053:be9c7f9d3d4d:1	2026-09-26
人	U+4EBA	へ	U+3078	49	hi:34326673 codh:200021063:200021063_00010_2:B0001:C0163 hi:34121770 hl:68C7BEFABCCE5DD6A2327799118C7CD1_77_025:be9c7f9d3d4d:19 hl:0c016d24723ee3568663547b0f9ef40b_10_005:be9c7f9d3d4d:2 hi:34154074 hi:34140301 hi:34150916	2026-09-26
