# Character equivalences for the alignment and export policies.
# source unicode-ucd (compatibility): Unicode Character Database and Ideographic Variation Database (UnicodeData.txt), fields Name and Decomposition, Unicode-3.0 (https://www.unicode.org/license.txt); Copyright Unicode, Inc.; Unicode License v3
#   https://www.unicode.org/Public/UCD/latest/ucd/UnicodeData.txt sha256:2e1efc1dcb59c575
#   a: a CJK compatibility ideograph or another character whose field 5 is a <compat> decomposition naming one CJK unified ideograph; b: that ideograph.
# source mj-main-table (itaiji): MJ文字情報一覧表 Ver.006.02, columns MJ文字図形名, 対応するUCS, X0213; CC-BY-SA-2.1-JP (https://moji.or.jp/mojikiban/mjlist/); 文字情報基盤 MJ文字情報一覧表（IPA）, CC BY-SA 2.1 JP
#   https://moji.or.jp/wp-content/uploads/2024/01/mji.00602.xlsx sha256:f79075bf006b66c5
#   a, b: two characters the table places at one X0213 面区点, ordered by code point.
# source mj-shrink-map (shinji-kyuji): MJ縮退マップ Ver.1.2.0, fields MJ文字図形名, 法務省戸籍法関連通達・通知, 種別, UCS, JIS X 0213; http://creativecommons.org/licenses/by-sa/2.1/jp/ (CC BY-SA 2.1 JP), corresponds to Ver.005.02
#   https://moji.or.jp/wp-content/mojikiban/oscdl/MJShrinkMap.1.2.0.json sha256:275b57ecd5929edb
#   a: a 旧字 whose 親字・正字 is b, a 常用漢字 (漢字施策 column of the main table); both are BMP CJK unified ideographs at different X0213 面区点.
# columns: a, b, kind, source
# rows: compatibility 1221, shinji-kyuji 639, itaiji 166
a	b	kind	source
⺟	母	compatibility	unicode-ucd
⻳	龟	compatibility	unicode-ucd
⼀	一	compatibility	unicode-ucd
⼁	丨	compatibility	unicode-ucd
⼂	丶	compatibility	unicode-ucd
⼃	丿	compatibility	unicode-ucd
⼄	乙	compatibility	unicode-ucd
⼅	亅	compatibility	unicode-ucd
⼆	二	compatibility	unicode-ucd
⼇	亠	compatibility	unicode-ucd
⼈	人	compatibility	unicode-ucd
⼉	儿	compatibility	unicode-ucd
⼊	入	compatibility	unicode-ucd
⼋	八	compatibility	unicode-ucd
⼌	冂	compatibility	unicode-ucd
⼍	冖	compatibility	unicode-ucd
⼎	冫	compatibility	unicode-ucd
⼏	几	compatibility	unicode-ucd
⼐	凵	compatibility	unicode-ucd
⼑	刀	compatibility	unicode-ucd
⼒	力	compatibility	unicode-ucd
⼓	勹	compatibility	unicode-ucd
⼔	匕	compatibility	unicode-ucd
⼕	匚	compatibility	unicode-ucd
⼖	匸	compatibility	unicode-ucd
⼗	十	compatibility	unicode-ucd
⼘	卜	compatibility	unicode-ucd
⼙	卩	compatibility	unicode-ucd
⼚	厂	compatibility	unicode-ucd
⼛	厶	compatibility	unicode-ucd
⼜	又	compatibility	unicode-ucd
⼝	口	compatibility	unicode-ucd
⼞	囗	compatibility	unicode-ucd
⼟	土	compatibility	unicode-ucd
⼠	士	compatibility	unicode-ucd
⼡	夂	compatibility	unicode-ucd
⼢	夊	compatibility	unicode-ucd
⼣	夕	compatibility	unicode-ucd
⼤	大	compatibility	unicode-ucd
⼥	女	compatibility	unicode-ucd
⼦	子	compatibility	unicode-ucd
⼧	宀	compatibility	unicode-ucd
⼨	寸	compatibility	unicode-ucd
⼩	小	compatibility	unicode-ucd
⼪	尢	compatibility	unicode-ucd
⼫	尸	compatibility	unicode-ucd
⼬	屮	compatibility	unicode-ucd
⼭	山	compatibility	unicode-ucd
⼮	巛	compatibility	unicode-ucd
⼯	工	compatibility	unicode-ucd
⼰	己	compatibility	unicode-ucd
⼱	巾	compatibility	unicode-ucd
⼲	干	compatibility	unicode-ucd
⼳	幺	compatibility	unicode-ucd
⼴	广	compatibility	unicode-ucd
⼵	廴	compatibility	unicode-ucd
⼶	廾	compatibility	unicode-ucd
⼷	弋	compatibility	unicode-ucd
⼸	弓	compatibility	unicode-ucd
⼹	彐	compatibility	unicode-ucd
⼺	彡	compatibility	unicode-ucd
⼻	彳	compatibility	unicode-ucd
⼼	心	compatibility	unicode-ucd
⼽	戈	compatibility	unicode-ucd
⼾	戶	compatibility	unicode-ucd
⼿	手	compatibility	unicode-ucd
⽀	支	compatibility	unicode-ucd
⽁	攴	compatibility	unicode-ucd
⽂	文	compatibility	unicode-ucd
⽃	斗	compatibility	unicode-ucd
⽄	斤	compatibility	unicode-ucd
⽅	方	compatibility	unicode-ucd
⽆	无	compatibility	unicode-ucd
⽇	日	compatibility	unicode-ucd
⽈	曰	compatibility	unicode-ucd
⽉	月	compatibility	unicode-ucd
⽊	木	compatibility	unicode-ucd
⽋	欠	compatibility	unicode-ucd
⽌	止	compatibility	unicode-ucd
⽍	歹	compatibility	unicode-ucd
⽎	殳	compatibility	unicode-ucd
⽏	毋	compatibility	unicode-ucd
⽐	比	compatibility	unicode-ucd
⽑	毛	compatibility	unicode-ucd
⽒	氏	compatibility	unicode-ucd
⽓	气	compatibility	unicode-ucd
⽔	水	compatibility	unicode-ucd
⽕	火	compatibility	unicode-ucd
⽖	爪	compatibility	unicode-ucd
⽗	父	compatibility	unicode-ucd
⽘	爻	compatibility	unicode-ucd
⽙	爿	compatibility	unicode-ucd
⽚	片	compatibility	unicode-ucd
⽛	牙	compatibility	unicode-ucd
⽜	牛	compatibility	unicode-ucd
⽝	犬	compatibility	unicode-ucd
⽞	玄	compatibility	unicode-ucd
⽟	玉	compatibility	unicode-ucd
⽠	瓜	compatibility	unicode-ucd
⽡	瓦	compatibility	unicode-ucd
⽢	甘	compatibility	unicode-ucd
⽣	生	compatibility	unicode-ucd
⽤	用	compatibility	unicode-ucd
⽥	田	compatibility	unicode-ucd
⽦	疋	compatibility	unicode-ucd
⽧	疒	compatibility	unicode-ucd
⽨	癶	compatibility	unicode-ucd
⽩	白	compatibility	unicode-ucd
⽪	皮	compatibility	unicode-ucd
⽫	皿	compatibility	unicode-ucd
⽬	目	compatibility	unicode-ucd
⽭	矛	compatibility	unicode-ucd
⽮	矢	compatibility	unicode-ucd
⽯	石	compatibility	unicode-ucd
⽰	示	compatibility	unicode-ucd
⽱	禸	compatibility	unicode-ucd
⽲	禾	compatibility	unicode-ucd
⽳	穴	compatibility	unicode-ucd
⽴	立	compatibility	unicode-ucd
⽵	竹	compatibility	unicode-ucd
⽶	米	compatibility	unicode-ucd
⽷	糸	compatibility	unicode-ucd
⽸	缶	compatibility	unicode-ucd
⽹	网	compatibility	unicode-ucd
⽺	羊	compatibility	unicode-ucd
⽻	羽	compatibility	unicode-ucd
⽼	老	compatibility	unicode-ucd
⽽	而	compatibility	unicode-ucd
⽾	耒	compatibility	unicode-ucd
⽿	耳	compatibility	unicode-ucd
⾀	聿	compatibility	unicode-ucd
⾁	肉	compatibility	unicode-ucd
⾂	臣	compatibility	unicode-ucd
⾃	自	compatibility	unicode-ucd
⾄	至	compatibility	unicode-ucd
⾅	臼	compatibility	unicode-ucd
⾆	舌	compatibility	unicode-ucd
⾇	舛	compatibility	unicode-ucd
⾈	舟	compatibility	unicode-ucd
⾉	艮	compatibility	unicode-ucd
⾊	色	compatibility	unicode-ucd
⾋	艸	compatibility	unicode-ucd
⾌	虍	compatibility	unicode-ucd
⾍	虫	compatibility	unicode-ucd
⾎	血	compatibility	unicode-ucd
⾏	行	compatibility	unicode-ucd
⾐	衣	compatibility	unicode-ucd
⾑	襾	compatibility	unicode-ucd
⾒	見	compatibility	unicode-ucd
⾓	角	compatibility	unicode-ucd
⾔	言	compatibility	unicode-ucd
⾕	谷	compatibility	unicode-ucd
⾖	豆	compatibility	unicode-ucd
⾗	豕	compatibility	unicode-ucd
⾘	豸	compatibility	unicode-ucd
⾙	貝	compatibility	unicode-ucd
⾚	赤	compatibility	unicode-ucd
⾛	走	compatibility	unicode-ucd
⾜	足	compatibility	unicode-ucd
⾝	身	compatibility	unicode-ucd
⾞	車	compatibility	unicode-ucd
⾟	辛	compatibility	unicode-ucd
⾠	辰	compatibility	unicode-ucd
⾡	辵	compatibility	unicode-ucd
⾢	邑	compatibility	unicode-ucd
⾣	酉	compatibility	unicode-ucd
⾤	釆	compatibility	unicode-ucd
⾥	里	compatibility	unicode-ucd
⾦	金	compatibility	unicode-ucd
⾧	長	compatibility	unicode-ucd
⾨	門	compatibility	unicode-ucd
⾩	阜	compatibility	unicode-ucd
⾪	隶	compatibility	unicode-ucd
⾫	隹	compatibility	unicode-ucd
⾬	雨	compatibility	unicode-ucd
⾭	靑	compatibility	unicode-ucd
⾮	非	compatibility	unicode-ucd
⾯	面	compatibility	unicode-ucd
⾰	革	compatibility	unicode-ucd
⾱	韋	compatibility	unicode-ucd
⾲	韭	compatibility	unicode-ucd
⾳	音	compatibility	unicode-ucd
⾴	頁	compatibility	unicode-ucd
⾵	風	compatibility	unicode-ucd
⾶	飛	compatibility	unicode-ucd
⾷	食	compatibility	unicode-ucd
⾸	首	compatibility	unicode-ucd
⾹	香	compatibility	unicode-ucd
⾺	馬	compatibility	unicode-ucd
⾻	骨	compatibility	unicode-ucd
⾼	高	compatibility	unicode-ucd
⾽	髟	compatibility	unicode-ucd
⾾	鬥	compatibility	unicode-ucd
⾿	鬯	compatibility	unicode-ucd
⿀	鬲	compatibility	unicode-ucd
⿁	鬼	compatibility	unicode-ucd
⿂	魚	compatibility	unicode-ucd
⿃	鳥	compatibility	unicode-ucd
⿄	鹵	compatibility	unicode-ucd
⿅	鹿	compatibility	unicode-ucd
⿆	麥	compatibility	unicode-ucd
⿇	麻	compatibility	unicode-ucd
⿈	黃	compatibility	unicode-ucd
⿉	黍	compatibility	unicode-ucd
⿊	黑	compatibility	unicode-ucd
⿋	黹	compatibility	unicode-ucd
⿌	黽	compatibility	unicode-ucd
⿍	鼎	compatibility	unicode-ucd
⿎	鼓	compatibility	unicode-ucd
⿏	鼠	compatibility	unicode-ucd
⿐	鼻	compatibility	unicode-ucd
⿑	齊	compatibility	unicode-ucd
⿒	齒	compatibility	unicode-ucd
⿓	龍	compatibility	unicode-ucd
⿔	龜	compatibility	unicode-ucd
⿕	龠	compatibility	unicode-ucd
〸	十	compatibility	unicode-ucd
〹	卄	compatibility	unicode-ucd
〺	卅	compatibility	unicode-ucd
豈	豈	compatibility	unicode-ucd
更	更	compatibility	unicode-ucd
車	車	compatibility	unicode-ucd
賈	賈	compatibility	unicode-ucd
滑	滑	compatibility	unicode-ucd
串	串	compatibility	unicode-ucd
句	句	compatibility	unicode-ucd
龜	龜	compatibility	unicode-ucd
龜	龜	compatibility	unicode-ucd
契	契	compatibility	unicode-ucd
金	金	compatibility	unicode-ucd
喇	喇	compatibility	unicode-ucd
奈	奈	compatibility	unicode-ucd
懶	懶	compatibility	unicode-ucd
癩	癩	compatibility	unicode-ucd
羅	羅	compatibility	unicode-ucd
蘿	蘿	compatibility	unicode-ucd
螺	螺	compatibility	unicode-ucd
裸	裸	compatibility	unicode-ucd
邏	邏	compatibility	unicode-ucd
樂	樂	compatibility	unicode-ucd
洛	洛	compatibility	unicode-ucd
烙	烙	compatibility	unicode-ucd
珞	珞	compatibility	unicode-ucd
落	落	compatibility	unicode-ucd
酪	酪	compatibility	unicode-ucd
駱	駱	compatibility	unicode-ucd
亂	亂	compatibility	unicode-ucd
卵	卵	compatibility	unicode-ucd
欄	欄	compatibility	unicode-ucd
爛	爛	compatibility	unicode-ucd
蘭	蘭	compatibility	unicode-ucd
鸞	鸞	compatibility	unicode-ucd
嵐	嵐	compatibility	unicode-ucd
濫	濫	compatibility	unicode-ucd
藍	藍	compatibility	unicode-ucd
襤	襤	compatibility	unicode-ucd
拉	拉	compatibility	unicode-ucd
臘	臘	compatibility	unicode-ucd
蠟	蠟	compatibility	unicode-ucd
廊	廊	compatibility	unicode-ucd
朗	朗	compatibility	unicode-ucd
浪	浪	compatibility	unicode-ucd
狼	狼	compatibility	unicode-ucd
郎	郎	compatibility	unicode-ucd
來	來	compatibility	unicode-ucd
冷	冷	compatibility	unicode-ucd
勞	勞	compatibility	unicode-ucd
擄	擄	compatibility	unicode-ucd
櫓	櫓	compatibility	unicode-ucd
爐	爐	compatibility	unicode-ucd
盧	盧	compatibility	unicode-ucd
老	老	compatibility	unicode-ucd
蘆	蘆	compatibility	unicode-ucd
虜	虜	compatibility	unicode-ucd
路	路	compatibility	unicode-ucd
露	露	compatibility	unicode-ucd
魯	魯	compatibility	unicode-ucd
鷺	鷺	compatibility	unicode-ucd
碌	碌	compatibility	unicode-ucd
祿	祿	compatibility	unicode-ucd
綠	綠	compatibility	unicode-ucd
菉	菉	compatibility	unicode-ucd
錄	錄	compatibility	unicode-ucd
鹿	鹿	compatibility	unicode-ucd
論	論	compatibility	unicode-ucd
壟	壟	compatibility	unicode-ucd
弄	弄	compatibility	unicode-ucd
籠	籠	compatibility	unicode-ucd
聾	聾	compatibility	unicode-ucd
牢	牢	compatibility	unicode-ucd
磊	磊	compatibility	unicode-ucd
賂	賂	compatibility	unicode-ucd
雷	雷	compatibility	unicode-ucd
壘	壘	compatibility	unicode-ucd
屢	屢	compatibility	unicode-ucd
樓	樓	compatibility	unicode-ucd
淚	淚	compatibility	unicode-ucd
漏	漏	compatibility	unicode-ucd
累	累	compatibility	unicode-ucd
縷	縷	compatibility	unicode-ucd
陋	陋	compatibility	unicode-ucd
勒	勒	compatibility	unicode-ucd
肋	肋	compatibility	unicode-ucd
凜	凜	compatibility	unicode-ucd
凌	凌	compatibility	unicode-ucd
稜	稜	compatibility	unicode-ucd
綾	綾	compatibility	unicode-ucd
菱	菱	compatibility	unicode-ucd
陵	陵	compatibility	unicode-ucd
讀	讀	compatibility	unicode-ucd
拏	拏	compatibility	unicode-ucd
樂	樂	compatibility	unicode-ucd
諾	諾	compatibility	unicode-ucd
丹	丹	compatibility	unicode-ucd
寧	寧	compatibility	unicode-ucd
怒	怒	compatibility	unicode-ucd
率	率	compatibility	unicode-ucd
異	異	compatibility	unicode-ucd
北	北	compatibility	unicode-ucd
磻	磻	compatibility	unicode-ucd
便	便	compatibility	unicode-ucd
復	復	compatibility	unicode-ucd
不	不	compatibility	unicode-ucd
泌	泌	compatibility	unicode-ucd
數	數	compatibility	unicode-ucd
索	索	compatibility	unicode-ucd
參	參	compatibility	unicode-ucd
塞	塞	compatibility	unicode-ucd
省	省	compatibility	unicode-ucd
葉	葉	compatibility	unicode-ucd
說	說	compatibility	unicode-ucd
殺	殺	compatibility	unicode-ucd
辰	辰	compatibility	unicode-ucd
沈	沈	compatibility	unicode-ucd
拾	拾	compatibility	unicode-ucd
若	若	compatibility	unicode-ucd
掠	掠	compatibility	unicode-ucd
略	略	compatibility	unicode-ucd
亮	亮	compatibility	unicode-ucd
兩	兩	compatibility	unicode-ucd
凉	凉	compatibility	unicode-ucd
梁	梁	compatibility	unicode-ucd
糧	糧	compatibility	unicode-ucd
良	良	compatibility	unicode-ucd
諒	諒	compatibility	unicode-ucd
量	量	compatibility	unicode-ucd
勵	勵	compatibility	unicode-ucd
呂	呂	compatibility	unicode-ucd
女	女	compatibility	unicode-ucd
廬	廬	compatibility	unicode-ucd
旅	旅	compatibility	unicode-ucd
濾	濾	compatibility	unicode-ucd
礪	礪	compatibility	unicode-ucd
閭	閭	compatibility	unicode-ucd
驪	驪	compatibility	unicode-ucd
麗	麗	compatibility	unicode-ucd
黎	黎	compatibility	unicode-ucd
力	力	compatibility	unicode-ucd
曆	曆	compatibility	unicode-ucd
歷	歷	compatibility	unicode-ucd
轢	轢	compatibility	unicode-ucd
年	年	compatibility	unicode-ucd
憐	憐	compatibility	unicode-ucd
戀	戀	compatibility	unicode-ucd
撚	撚	compatibility	unicode-ucd
漣	漣	compatibility	unicode-ucd
煉	煉	compatibility	unicode-ucd
璉	璉	compatibility	unicode-ucd
秊	秊	compatibility	unicode-ucd
練	練	compatibility	unicode-ucd
聯	聯	compatibility	unicode-ucd
輦	輦	compatibility	unicode-ucd
蓮	蓮	compatibility	unicode-ucd
連	連	compatibility	unicode-ucd
鍊	鍊	compatibility	unicode-ucd
列	列	compatibility	unicode-ucd
劣	劣	compatibility	unicode-ucd
咽	咽	compatibility	unicode-ucd
烈	烈	compatibility	unicode-ucd
裂	裂	compatibility	unicode-ucd
說	說	compatibility	unicode-ucd
廉	廉	compatibility	unicode-ucd
念	念	compatibility	unicode-ucd
捻	捻	compatibility	unicode-ucd
殮	殮	compatibility	unicode-ucd
簾	簾	compatibility	unicode-ucd
獵	獵	compatibility	unicode-ucd
令	令	compatibility	unicode-ucd
囹	囹	compatibility	unicode-ucd
寧	寧	compatibility	unicode-ucd
嶺	嶺	compatibility	unicode-ucd
怜	怜	compatibility	unicode-ucd
玲	玲	compatibility	unicode-ucd
瑩	瑩	compatibility	unicode-ucd
羚	羚	compatibility	unicode-ucd
聆	聆	compatibility	unicode-ucd
鈴	鈴	compatibility	unicode-ucd
零	零	compatibility	unicode-ucd
靈	靈	compatibility	unicode-ucd
領	領	compatibility	unicode-ucd
例	例	compatibility	unicode-ucd
禮	禮	compatibility	unicode-ucd
醴	醴	compatibility	unicode-ucd
隸	隸	compatibility	unicode-ucd
惡	惡	compatibility	unicode-ucd
了	了	compatibility	unicode-ucd
僚	僚	compatibility	unicode-ucd
寮	寮	compatibility	unicode-ucd
尿	尿	compatibility	unicode-ucd
料	料	compatibility	unicode-ucd
樂	樂	compatibility	unicode-ucd
燎	燎	compatibility	unicode-ucd
療	療	compatibility	unicode-ucd
蓼	蓼	compatibility	unicode-ucd
遼	遼	compatibility	unicode-ucd
龍	龍	compatibility	unicode-ucd
暈	暈	compatibility	unicode-ucd
阮	阮	compatibility	unicode-ucd
劉	劉	compatibility	unicode-ucd
杻	杻	compatibility	unicode-ucd
柳	柳	compatibility	unicode-ucd
流	流	compatibility	unicode-ucd
溜	溜	compatibility	unicode-ucd
琉	琉	compatibility	unicode-ucd
留	留	compatibility	unicode-ucd
硫	硫	compatibility	unicode-ucd
紐	紐	compatibility	unicode-ucd
類	類	compatibility	unicode-ucd
六	六	compatibility	unicode-ucd
戮	戮	compatibility	unicode-ucd
陸	陸	compatibility	unicode-ucd
倫	倫	compatibility	unicode-ucd
崙	崙	compatibility	unicode-ucd
淪	淪	compatibility	unicode-ucd
輪	輪	compatibility	unicode-ucd
律	律	compatibility	unicode-ucd
慄	慄	compatibility	unicode-ucd
栗	栗	compatibility	unicode-ucd
率	率	compatibility	unicode-ucd
隆	隆	compatibility	unicode-ucd
利	利	compatibility	unicode-ucd
吏	吏	compatibility	unicode-ucd
履	履	compatibility	unicode-ucd
易	易	compatibility	unicode-ucd
李	李	compatibility	unicode-ucd
梨	梨	compatibility	unicode-ucd
泥	泥	compatibility	unicode-ucd
理	理	compatibility	unicode-ucd
痢	痢	compatibility	unicode-ucd
罹	罹	compatibility	unicode-ucd
裏	裏	compatibility	unicode-ucd
裡	裡	compatibility	unicode-ucd
里	里	compatibility	unicode-ucd
離	離	compatibility	unicode-ucd
匿	匿	compatibility	unicode-ucd
溺	溺	compatibility	unicode-ucd
吝	吝	compatibility	unicode-ucd
燐	燐	compatibility	unicode-ucd
璘	璘	compatibility	unicode-ucd
藺	藺	compatibility	unicode-ucd
隣	隣	compatibility	unicode-ucd
鱗	鱗	compatibility	unicode-ucd
麟	麟	compatibility	unicode-ucd
林	林	compatibility	unicode-ucd
淋	淋	compatibility	unicode-ucd
臨	臨	compatibility	unicode-ucd
立	立	compatibility	unicode-ucd
笠	笠	compatibility	unicode-ucd
粒	粒	compatibility	unicode-ucd
狀	狀	compatibility	unicode-ucd
炙	炙	compatibility	unicode-ucd
識	識	compatibility	unicode-ucd
什	什	compatibility	unicode-ucd
茶	茶	compatibility	unicode-ucd
刺	刺	compatibility	unicode-ucd
切	切	compatibility	unicode-ucd
度	度	compatibility	unicode-ucd
拓	拓	compatibility	unicode-ucd
糖	糖	compatibility	unicode-ucd
宅	宅	compatibility	unicode-ucd
洞	洞	compatibility	unicode-ucd
暴	暴	compatibility	unicode-ucd
輻	輻	compatibility	unicode-ucd
行	行	compatibility	unicode-ucd
降	降	compatibility	unicode-ucd
見	見	compatibility	unicode-ucd
廓	廓	compatibility	unicode-ucd
兀	兀	compatibility	unicode-ucd
嗀	嗀	compatibility	unicode-ucd
塚	塚	compatibility	unicode-ucd
晴	晴	compatibility	unicode-ucd
凞	凞	compatibility	unicode-ucd
猪	猪	compatibility	unicode-ucd
益	益	compatibility	unicode-ucd
礼	礼	compatibility	unicode-ucd
神	神	compatibility	unicode-ucd
祥	祥	compatibility	unicode-ucd
福	福	compatibility	unicode-ucd
靖	靖	compatibility	unicode-ucd
精	精	compatibility	unicode-ucd
羽	羽	compatibility	unicode-ucd
蘒	蘒	compatibility	unicode-ucd
諸	諸	compatibility	unicode-ucd
逸	逸	compatibility	unicode-ucd
都	都	compatibility	unicode-ucd
飯	飯	compatibility	unicode-ucd
飼	飼	compatibility	unicode-ucd
館	館	compatibility	unicode-ucd
鶴	鶴	compatibility	unicode-ucd
郞	郞	compatibility	unicode-ucd
隷	隷	compatibility	unicode-ucd
侮	侮	compatibility	unicode-ucd
僧	僧	compatibility	unicode-ucd
免	免	compatibility	unicode-ucd
勉	勉	compatibility	unicode-ucd
勤	勤	compatibility	unicode-ucd
卑	卑	compatibility	unicode-ucd
喝	喝	compatibility	unicode-ucd
嘆	嘆	compatibility	unicode-ucd
器	器	compatibility	unicode-ucd
塀	塀	compatibility	unicode-ucd
墨	墨	compatibility	unicode-ucd
層	層	compatibility	unicode-ucd
屮	屮	compatibility	unicode-ucd
悔	悔	compatibility	unicode-ucd
慨	慨	compatibility	unicode-ucd
憎	憎	compatibility	unicode-ucd
懲	懲	compatibility	unicode-ucd
敏	敏	compatibility	unicode-ucd
既	既	compatibility	unicode-ucd
暑	暑	compatibility	unicode-ucd
梅	梅	compatibility	unicode-ucd
海	海	compatibility	unicode-ucd
渚	渚	compatibility	unicode-ucd
漢	漢	compatibility	unicode-ucd
煮	煮	compatibility	unicode-ucd
爫	爫	compatibility	unicode-ucd
琢	琢	compatibility	unicode-ucd
碑	碑	compatibility	unicode-ucd
社	社	compatibility	unicode-ucd
祉	祉	compatibility	unicode-ucd
祈	祈	compatibility	unicode-ucd
祐	祐	compatibility	unicode-ucd
祖	祖	compatibility	unicode-ucd
祝	祝	compatibility	unicode-ucd
禍	禍	compatibility	unicode-ucd
禎	禎	compatibility	unicode-ucd
穀	穀	compatibility	unicode-ucd
突	突	compatibility	unicode-ucd
節	節	compatibility	unicode-ucd
練	練	compatibility	unicode-ucd
縉	縉	compatibility	unicode-ucd
繁	繁	compatibility	unicode-ucd
署	署	compatibility	unicode-ucd
者	者	compatibility	unicode-ucd
臭	臭	compatibility	unicode-ucd
艹	艹	compatibility	unicode-ucd
艹	艹	compatibility	unicode-ucd
著	著	compatibility	unicode-ucd
褐	褐	compatibility	unicode-ucd
視	視	compatibility	unicode-ucd
謁	謁	compatibility	unicode-ucd
謹	謹	compatibility	unicode-ucd
賓	賓	compatibility	unicode-ucd
贈	贈	compatibility	unicode-ucd
辶	辶	compatibility	unicode-ucd
逸	逸	compatibility	unicode-ucd
難	難	compatibility	unicode-ucd
響	響	compatibility	unicode-ucd
頻	頻	compatibility	unicode-ucd
恵	恵	compatibility	unicode-ucd
𤋮	𤋮	compatibility	unicode-ucd
舘	舘	compatibility	unicode-ucd
並	並	compatibility	unicode-ucd
况	况	compatibility	unicode-ucd
全	全	compatibility	unicode-ucd
侀	侀	compatibility	unicode-ucd
充	充	compatibility	unicode-ucd
冀	冀	compatibility	unicode-ucd
勇	勇	compatibility	unicode-ucd
勺	勺	compatibility	unicode-ucd
喝	喝	compatibility	unicode-ucd
啕	啕	compatibility	unicode-ucd
喙	喙	compatibility	unicode-ucd
嗢	嗢	compatibility	unicode-ucd
塚	塚	compatibility	unicode-ucd
墳	墳	compatibility	unicode-ucd
奄	奄	compatibility	unicode-ucd
奔	奔	compatibility	unicode-ucd
婢	婢	compatibility	unicode-ucd
嬨	嬨	compatibility	unicode-ucd
廒	廒	compatibility	unicode-ucd
廙	廙	compatibility	unicode-ucd
彩	彩	compatibility	unicode-ucd
徭	徭	compatibility	unicode-ucd
惘	惘	compatibility	unicode-ucd
慎	慎	compatibility	unicode-ucd
愈	愈	compatibility	unicode-ucd
憎	憎	compatibility	unicode-ucd
慠	慠	compatibility	unicode-ucd
懲	懲	compatibility	unicode-ucd
戴	戴	compatibility	unicode-ucd
揄	揄	compatibility	unicode-ucd
搜	搜	compatibility	unicode-ucd
摒	摒	compatibility	unicode-ucd
敖	敖	compatibility	unicode-ucd
晴	晴	compatibility	unicode-ucd
朗	朗	compatibility	unicode-ucd
望	望	compatibility	unicode-ucd
杖	杖	compatibility	unicode-ucd
歹	歹	compatibility	unicode-ucd
殺	殺	compatibility	unicode-ucd
流	流	compatibility	unicode-ucd
滛	滛	compatibility	unicode-ucd
滋	滋	compatibility	unicode-ucd
漢	漢	compatibility	unicode-ucd
瀞	瀞	compatibility	unicode-ucd
煮	煮	compatibility	unicode-ucd
瞧	瞧	compatibility	unicode-ucd
爵	爵	compatibility	unicode-ucd
犯	犯	compatibility	unicode-ucd
猪	猪	compatibility	unicode-ucd
瑱	瑱	compatibility	unicode-ucd
甆	甆	compatibility	unicode-ucd
画	画	compatibility	unicode-ucd
瘝	瘝	compatibility	unicode-ucd
瘟	瘟	compatibility	unicode-ucd
益	益	compatibility	unicode-ucd
盛	盛	compatibility	unicode-ucd
直	直	compatibility	unicode-ucd
睊	睊	compatibility	unicode-ucd
着	着	compatibility	unicode-ucd
磌	磌	compatibility	unicode-ucd
窱	窱	compatibility	unicode-ucd
節	節	compatibility	unicode-ucd
类	类	compatibility	unicode-ucd
絛	絛	compatibility	unicode-ucd
練	練	compatibility	unicode-ucd
缾	缾	compatibility	unicode-ucd
者	者	compatibility	unicode-ucd
荒	荒	compatibility	unicode-ucd
華	華	compatibility	unicode-ucd
蝹	蝹	compatibility	unicode-ucd
襁	襁	compatibility	unicode-ucd
覆	覆	compatibility	unicode-ucd
視	視	compatibility	unicode-ucd
調	調	compatibility	unicode-ucd
諸	諸	compatibility	unicode-ucd
請	請	compatibility	unicode-ucd
謁	謁	compatibility	unicode-ucd
諾	諾	compatibility	unicode-ucd
諭	諭	compatibility	unicode-ucd
謹	謹	compatibility	unicode-ucd
變	變	compatibility	unicode-ucd
贈	贈	compatibility	unicode-ucd
輸	輸	compatibility	unicode-ucd
遲	遲	compatibility	unicode-ucd
醙	醙	compatibility	unicode-ucd
鉶	鉶	compatibility	unicode-ucd
陼	陼	compatibility	unicode-ucd
難	難	compatibility	unicode-ucd
靖	靖	compatibility	unicode-ucd
韛	韛	compatibility	unicode-ucd
響	響	compatibility	unicode-ucd
頋	頋	compatibility	unicode-ucd
頻	頻	compatibility	unicode-ucd
鬒	鬒	compatibility	unicode-ucd
龜	龜	compatibility	unicode-ucd
𢡊	𢡊	compatibility	unicode-ucd
𢡄	𢡄	compatibility	unicode-ucd
𣏕	𣏕	compatibility	unicode-ucd
㮝	㮝	compatibility	unicode-ucd
䀘	䀘	compatibility	unicode-ucd
䀹	䀹	compatibility	unicode-ucd
𥉉	𥉉	compatibility	unicode-ucd
𥳐	𥳐	compatibility	unicode-ucd
𧻓	𧻓	compatibility	unicode-ucd
齃	齃	compatibility	unicode-ucd
龎	龎	compatibility	unicode-ucd
丽	丽	compatibility	unicode-ucd
丸	丸	compatibility	unicode-ucd
乁	乁	compatibility	unicode-ucd
𠄢	𠄢	compatibility	unicode-ucd
你	你	compatibility	unicode-ucd
侮	侮	compatibility	unicode-ucd
侻	侻	compatibility	unicode-ucd
倂	倂	compatibility	unicode-ucd
偺	偺	compatibility	unicode-ucd
備	備	compatibility	unicode-ucd
僧	僧	compatibility	unicode-ucd
像	像	compatibility	unicode-ucd
㒞	㒞	compatibility	unicode-ucd
𠘺	𠘺	compatibility	unicode-ucd
免	免	compatibility	unicode-ucd
