# MJ文字情報一覧表 変体仮名編 Ver.002.01
# publisher: 文字情報技術促進協議会（IPA 文字情報基盤）
# url: https://moji.or.jp/mojikiban/mjlist/
# access: https://moji.or.jp/wp-content/mojikiban/oscdl/MJIH00201-ods.zip
# archive: MJIH00201-ods.zip, 240803 bytes, sha256 b9f8125b20ab4c5fd1fd4f860834939b463a50641668901258dc65bf4c9b3fa6
# licence: CC-BY-SA-2.1-JP (https://moji.or.jp/mojikiban/mjlist/)
# attribution: 文字情報基盤 MJ文字情報一覧表 変体仮名編（IPA）, CC BY-SA 2.1 JP
# columns: mj, code_point, name, jibo, jibo_code_point, readings, koseki, gakujutsu, ninjal_url, note
# ODS columns read: MJ文字図形名, font文字, 図形, CharacterName, UCS符号位置, 字母, 字母のUCS符号位置, 音価１, 音価２, 音価３, 戸籍統一文字番号, 学術用変体仮名番号, 国語研URL, 備考
# readings joins 音価１, 音価２ and 音価３ with /; note carries 備考 verbatim.
# rows: 299, with a code point: 286, without: 13
mj	code_point	name	jibo	jibo_code_point	readings	koseki	gakujutsu	ninjal_url	note
MJ090063	U+1B03C	HENTAIGANA LETTER SA-1	乍	U+4E4D	さ		110010010	https://cid.ninjal.ac.jp/kana/detail/110010010	
MJ090064	U+1B03D	HENTAIGANA LETTER SA-2	佐	U+4F50	さ	900330	110020010	https://cid.ninjal.ac.jp/kana/detail/110020010	
MJ090065	U+1B03E	HENTAIGANA LETTER SA-3	佐	U+4F50	さ		110020020	https://cid.ninjal.ac.jp/kana/detail/110020020	
MJ090066	U+1B03F	HENTAIGANA LETTER SA-4	左	U+5DE6	さ	900320	110030010	https://cid.ninjal.ac.jp/kana/detail/110030010	
MJ090067	U+1B040	HENTAIGANA LETTER SA-5	差	U+5DEE	さ		110040010	https://cid.ninjal.ac.jp/kana/detail/110040010	
MJ090068	U+1B041	HENTAIGANA LETTER SA-6	散	U+6563	さ	900340	110050010	https://cid.ninjal.ac.jp/kana/detail/110050010	
MJ090069	U+1B042	HENTAIGANA LETTER SA-7	斜	U+659C	さ		110060010	https://cid.ninjal.ac.jp/kana/detail/110060010	
MJ090070	U+1B043	HENTAIGANA LETTER SA-8	沙	U+6C99	さ	901550	110070010	https://cid.ninjal.ac.jp/kana/detail/110070010	
MJ090071	U+1B044	HENTAIGANA LETTER SI-1	之	U+4E4B	し	900360	120010010	https://cid.ninjal.ac.jp/kana/detail/120010010	
MJ090072	U+1B045	HENTAIGANA LETTER SI-2	之	U+4E4B	し	900350	120010020	https://cid.ninjal.ac.jp/kana/detail/120010020	
MJ090073	U+1B046	HENTAIGANA LETTER SI-3	事	U+4E8B	し		120020010	https://cid.ninjal.ac.jp/kana/detail/120020010	
MJ090074	U+1B047	HENTAIGANA LETTER SI-4	四	U+56DB	し		120030010	https://cid.ninjal.ac.jp/kana/detail/120030010	
MJ090075	U+1B048	HENTAIGANA LETTER SI-5	志	U+5FD7	し	900370	120050010	https://cid.ninjal.ac.jp/kana/detail/120050010	
MJ090076	U+1B049	HENTAIGANA LETTER SI-6	新	U+65B0	し	901560	120070010	https://cid.ninjal.ac.jp/kana/detail/120070010	
MJ090077	U+1B04A	HENTAIGANA LETTER SU-1	受	U+53D7	す		130010010	https://cid.ninjal.ac.jp/kana/detail/130010010	
MJ090078	U+1B04B	HENTAIGANA LETTER SU-2	壽	U+58FD	す	900400	130020010	https://cid.ninjal.ac.jp/kana/detail/130020010	
MJ090079	U+1B04C	HENTAIGANA LETTER SU-3	數	U+6578	す		130040010	https://cid.ninjal.ac.jp/kana/detail/130040010	
MJ090080	U+1B04D	HENTAIGANA LETTER SU-4	數	U+6578	す	900410	130040020	https://cid.ninjal.ac.jp/kana/detail/130040020	
MJ090081	U+1B04E	HENTAIGANA LETTER SU-5	春	U+6625	す		130050010	https://cid.ninjal.ac.jp/kana/detail/130050010	
MJ090082	U+1B04F	HENTAIGANA LETTER SU-6	春	U+6625	す	900380	130050030	https://cid.ninjal.ac.jp/kana/detail/130050030	
MJ090083	U+1B050	HENTAIGANA LETTER SU-7	須	U+9808	す		130060010	https://cid.ninjal.ac.jp/kana/detail/130060010	
MJ090084	U+1B051	HENTAIGANA LETTER SU-8	須	U+9808	す	900390	130060020	https://cid.ninjal.ac.jp/kana/detail/130060020	
MJ090085	U+1B052	HENTAIGANA LETTER SE-1	世	U+4E16	せ	900430	140010030	https://cid.ninjal.ac.jp/kana/detail/140010030	
MJ090086	U+1B053	HENTAIGANA LETTER SE-2	世	U+4E16	せ		140010040	https://cid.ninjal.ac.jp/kana/detail/140010040	
MJ090087	U+1B054	HENTAIGANA LETTER SE-3	世	U+4E16	せ	900420			
MJ090088	U+1B055	HENTAIGANA LETTER SE-4	勢	U+52E2	せ	900440	140020010	https://cid.ninjal.ac.jp/kana/detail/140020010	
MJ090089	U+1B056	HENTAIGANA LETTER SE-5	聲	U+8072	せ		140040010	https://cid.ninjal.ac.jp/kana/detail/140040010	
MJ090090	U+1B057	HENTAIGANA LETTER SO-1	所	U+6240	そ	900460	150010010	https://cid.ninjal.ac.jp/kana/detail/150010010	
MJ090091	U+1B058	HENTAIGANA LETTER SO-2	所	U+6240	そ		150010020	https://cid.ninjal.ac.jp/kana/detail/150010020	
MJ090092	U+1B059	HENTAIGANA LETTER SO-3	曾	U+66FE	そ		150020010	https://cid.ninjal.ac.jp/kana/detail/150020010	
MJ090093	U+1B05A	HENTAIGANA LETTER SO-4	曾	U+66FE	そ		150020020	https://cid.ninjal.ac.jp/kana/detail/150020020	
MJ090094	U+1B05B	HENTAIGANA LETTER SO-5	楚	U+695A	そ	900450	150030010	https://cid.ninjal.ac.jp/kana/detail/150030010	
MJ090095	U+1B05C	HENTAIGANA LETTER SO-6	蘇	U+8607	そ		150040010	https://cid.ninjal.ac.jp/kana/detail/150040010	
MJ090096	U+1B05D	HENTAIGANA LETTER SO-7	處	U+8655	そ	900470	150050020	https://cid.ninjal.ac.jp/kana/detail/150050020	
MJ090097	U+1B05E	HENTAIGANA LETTER TA-1	堂	U+5802	た	900500	160010010	https://cid.ninjal.ac.jp/kana/detail/160010010	
