code_point	char	name	readings	jibo	jibo_code_point
U+1B074	𛁴	HENTAIGANA LETTER TE-7	て	帝	U+5E1D
U+1B075	𛁵	HENTAIGANA LETTER TE-8	て	弖	U+5F16
U+1B076	𛁶	HENTAIGANA LETTER TE-9	て	轉	U+8F49
U+1B077	𛁷	HENTAIGANA LETTER TO-1	と	土	U+571F
U+1B078	𛁸	HENTAIGANA LETTER TO-2	と	度	U+5EA6
U+1B079	𛁹	HENTAIGANA LETTER TO-3	と	東	U+6771
U+1B07A	𛁺	HENTAIGANA LETTER TO-4	と	登	U+767B
U+1B07B	𛁻	HENTAIGANA LETTER TO-5	と	登	U+767B
U+1B07C	𛁼	HENTAIGANA LETTER TO-6	と	砥	U+7825
U+1B07D	𛁽	HENTAIGANA LETTER TO-RA	と/ら	等	U+7B49
U+1B07E	𛁾	HENTAIGANA LETTER NA-1	な	南	U+5357
U+1B07F	𛁿	HENTAIGANA LETTER NA-2	な	名	U+540D
U+1B080	𛂀	HENTAIGANA LETTER NA-3	な	奈	U+5948
U+1B081	𛂁	HENTAIGANA LETTER NA-4	な	奈	U+5948
U+1B082	𛂂	HENTAIGANA LETTER NA-5	な	奈	U+5948
U+1B083	𛂃	HENTAIGANA LETTER NA-6	な	菜	U+83DC
U+1B084	𛂄	HENTAIGANA LETTER NA-7	な	那	U+90A3
U+1B085	𛂅	HENTAIGANA LETTER NA-8	な	那	U+90A3
U+1B086	𛂆	HENTAIGANA LETTER NA-9	な	難	U+96E3
U+1B087	𛂇	HENTAIGANA LETTER NI-1	に	丹	U+4E39
U+1B088	𛂈	HENTAIGANA LETTER NI-2	に	二	U+4E8C
U+1B089	𛂉	HENTAIGANA LETTER NI-3	に	仁	U+4EC1
U+1B08A	𛂊	HENTAIGANA LETTER NI-4	に	兒	U+5152
U+1B08B	𛂋	HENTAIGANA LETTER NI-5	に	爾	U+723E
U+1B08C	𛂌	HENTAIGANA LETTER NI-6	に	爾	U+723E
U+1B08D	𛂍	HENTAIGANA LETTER NI-7	に	耳	U+8033
U+1B08E	𛂎	HENTAIGANA LETTER NI-TE	に/て	而	U+800C
U+1B08F	𛂏	HENTAIGANA LETTER NU-1	ぬ	努	U+52AA
U+1B090	𛂐	HENTAIGANA LETTER NU-2	ぬ	奴	U+5974
U+1B091	𛂑	HENTAIGANA LETTER NU-3	ぬ	怒	U+6012
U+1B092	𛂒	HENTAIGANA LETTER NE-1	ね	年	U+5E74
U+1B093	𛂓	HENTAIGANA LETTER NE-2	ね	年	U+5E74
U+1B094	𛂔	HENTAIGANA LETTER NE-3	ね	年	U+5E74
U+1B095	𛂕	HENTAIGANA LETTER NE-4	ね	根	U+6839
U+1B096	𛂖	HENTAIGANA LETTER NE-5	ね	熱	U+71B1
U+1B097	𛂗	HENTAIGANA LETTER NE-6	ね	禰	U+79B0
U+1B098	𛂘	HENTAIGANA LETTER NE-KO	ね/こ	子	U+5B50
U+1B099	𛂙	HENTAIGANA LETTER NO-1	の	乃	U+4E43
U+1B09A	𛂚	HENTAIGANA LETTER NO-2	の	濃	U+6FC3
U+1B09B	𛂛	HENTAIGANA LETTER NO-3	の	能	U+80FD
U+1B09C	𛂜	HENTAIGANA LETTER NO-4	の	能	U+80FD
U+1B09D	𛂝	HENTAIGANA LETTER NO-5	の	農	U+8FB2
U+1B09E	𛂞	HENTAIGANA LETTER HA-1	は	八	U+516B
U+1B09F	𛂟	HENTAIGANA LETTER HA-2	は	半	U+534A
U+1B0A0	𛂠	HENTAIGANA LETTER HA-3	は	婆	U+5A46
U+1B0A1	𛂡	HENTAIGANA LETTER HA-4	は	波	U+6CE2
U+1B0A2	𛂢	HENTAIGANA LETTER HA-5	は	盤	U+76E4
U+1B0A3	𛂣	HENTAIGANA LETTER HA-6	は	盤	U+76E4
U+1B0A4	𛂤	HENTAIGANA LETTER HA-7	は	破	U+7834
U+1B0A5	𛂥	HENTAIGANA LETTER HA-8	は	者	U+8005
U+1B0A6	𛂦	HENTAIGANA LETTER HA-9	は	者	U+8005
U+1B0A7	𛂧	HENTAIGANA LETTER HA-10	は	葉	U+8449
U+1B0A8	𛂨	HENTAIGANA LETTER HA-11	は	頗	U+9817
U+1B0A9	𛂩	HENTAIGANA LETTER HI-1	ひ	悲	U+60B2
U+1B0AA	𛂪	HENTAIGANA LETTER HI-2	ひ	日	U+65E5
U+1B0AB	𛂫	HENTAIGANA LETTER HI-3	ひ	比	U+6BD4
U+1B0AC	𛂬	HENTAIGANA LETTER HI-4	ひ	避	U+907F
U+1B0AD	𛂭	HENTAIGANA LETTER HI-5	ひ	非	U+975E
U+1B0AE	𛂮	HENTAIGANA LETTER HI-6	ひ	飛	U+98DB
U+1B0AF	𛂯	HENTAIGANA LETTER HI-7	ひ	飛	U+98DB
U+1B0B0	𛂰	HENTAIGANA LETTER HU-1	ふ	不	U+4E0D
U+1B0B1	𛂱	HENTAIGANA LETTER HU-2	ふ	婦	U+5A66
U+1B0B2	𛂲	HENTAIGANA LETTER HU-3	ふ	布	U+5E03
U+1B0B3	𛂳	HENTAIGANA LETTER HE-1	へ	倍	U+500D
U+1B0B4	𛂴	HENTAIGANA LETTER HE-2	へ	弊	U+5F0A
U+1B0B5	𛂵	HENTAIGANA LETTER HE-3	へ	弊	U+5F0A
U+1B0B6	𛂶	HENTAIGANA LETTER HE-4	へ	遍	U+904D
U+1B0B7	𛂷	HENTAIGANA LETTER HE-5	へ	邊	U+908A
U+1B0B8	𛂸	HENTAIGANA LETTER HE-6	へ	邊	U+908A
U+1B0B9	𛂹	HENTAIGANA LETTER HE-7	へ	部	U+90E8
U+1B0BA	𛂺	HENTAIGANA LETTER HO-1	ほ	保	U+4FDD
U+1B0BB	𛂻	HENTAIGANA LETTER HO-2	ほ	保	U+4FDD
U+1B0BC	𛂼	HENTAIGANA LETTER HO-3	ほ	報	U+5831
